COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-8333710_Q	Chemical Characterization and Anaerobic Biodegradability of Hydrothermal Liquefaction Aqueous Products from Mixed-culture Wastewater Algae
COMPLETEPAPER-8334703_Q	Can Population Levels of Physical Activity be Increased
COMPLETEPAPER-8336950_Q	Development of a method to quantify clindamycin in vitreous humor of rabbits&#146; eyes by UPLC&#45;MS/MS: Application to a comparative pharmacokinetic study and in vivo ocular biocompatibility evaluation
COMPLETEPAPER-8349772_Q	Effect of adding a gonadotropin-releasing-hormone treatment at the beginning and a second prostaglandin F2&#945; treatment at the end of an estradiol-based protocol for timed artificial insemination in lactating dairy cows during cool or hot seasons of the year
COMPLETEPAPER-8354797_Q	The influence of leaf age on methylxanthines
COMPLETEPAPER-8369653_Q	Relative permittivity of mixtures of R-134a and R-1234yf and a polyol ester lubricating oil
COMPLETEPAPER-8378189_Q	Magnetocaloric effect in (TbcR1- c)Co2 (R= Er and Ho)
COMPLETEPAPER-8386873_Q	Metabolic evaluations of cancer metabolism by NMR-based stable isotope tracer methodologies
COMPLETEPAPER-8394327_Q	All-electron topological insulator in InAs double wells
COMPLETEPAPER-8394328_Q	Spin-orbit interaction in GaAs wells: From one to two subbands
COMPLETEPAPER-8404635_Q	Effects of chronic resveratrol supplementation in military firefighters undergo a physical fitness test - a placebo-controlled
COMPLETEPAPER-8409467_Q	Pozzolanic activity of elephant grass ash and its influence on the mechanical properties of concrete
COMPLETEPAPER-8417617_Q	One-step glycerol oxidehydration to acrylic acid on multifunctional zeolite catalysts
COMPLETEPAPER-8420196_Q	Forensic Use of A Subtropical Blowfly: The First Case Indicating Minimum              <i>Postmortem</i>              Interval (mPMI) in Southern Brazil and First Record of              <i>Sarconesia Chlorogaster</i>              from a Human Corpse
COMPLETEPAPER-8438865_Q	Effect of laser (&#955; 660nnm) and LED (&#955; 630nnm) photobiomodulation on formocresol-induced oral ulcers: a clinical and histological study on rodents
COMPLETEPAPER-8452238_Q	Non-Hermitian PT Symmetric Hamiltonian with Position-Dependent Masses: Associated Schrodinger Equation and Finite-Norm Solutions
COMPLETEPAPER-8458643_Q	Relevance of the Myeloid Differentiation Factor 88 (MyD88) on RANKL
COMPLETEPAPER-8458644_Q	Clinical Influence of Different Intracanal Medications on Th1-type and Th2-type Cytokine Responses in Apical Periodontitis
COMPLETEPAPER-8460755_Q	Micro&#45;computed Tomographic Analysis of the Root Canal Morphology of the Distal Root of Mandibular First Molar
COMPLETEPAPER-8460756_Q	Antibacterial and dissolution ability of sodium hypochlorite in different pHs on multi-species biofilms
COMPLETEPAPER-8479448_Q	Synthesis of N-methylarylnitrones derived from alkyloxybenzaldehydes and antineoplastic effect on human cancer cell lines
COMPLETEPAPER-8479709_Q	Molecular characterization of Cyclophilin (TcCyP19) in Trypanosoma cruzi populations susceptible and resistant to benznidazole
COMPLETEPAPER-8485073_Q	Explosive synchronization with partial degree-frequency correlation
COMPLETEPAPER-8505460_Q	Investigation of a novel trinuclear &#956;-oxo ruthenium complex as a potential nitric oxide releaser for biological purposes
COMPLETEPAPER-8509263_Q	A Poincare-Birkhoff theorem for tight Reeb flows on $$S^3$$ S 3
COMPLETEPAPER-8516872_Q	Sorbitan and sucrose esters as modifiers of the solidification properties of zero trans fats
COMPLETEPAPER-8518313_Q	Presurgical CBCT assessment of maxillary neurovascularization in relation to maxillary sinus augmentation procedures and posterior implant placement
COMPLETEPAPER-8527509_Q	Phenotypic and Genotypic Characterization of Biofilm Formation in Staphylococcus haemolyticus
SPECIFIC_CHAPTER-8534567_Q	Evolving Mechanistic Insights into Galectin Functions
COMPLETEPAPER-8535270_Q	Wind force coefficients on hexagonal free form shell
COMPLETEPAPER-8540373_Q	Cyclodextrin glycosyltransferase production by free cells of Bacillus circulans DF 9R in batch fermentation and by immobilized cells in a semi-continuous process
COMPLETEPAPER-8540857_Q	Influence of modified starches composition on their performance as fluid loss additives in invert-emulsion drilling fluids
COMPLETEPAPER-8544195_Q	DSM to predict distortional failures in cold-formed steel columns exposed to fire: Effect of the constitutive law temperature-dependence
COMPLETEPAPER-8549062_Q	Contextual preference mining for user profile construction
COMPLETEPAPER-8556031_Q	Extension of the distribution range of Hypnea stellulifera (Cystocloniaceae
COMPLETEPAPER-8559834_Q	Characteristics of machined and formed external threads in titanium alloy
COMPLETEPAPER-8573817_Q	Large-scale analytical water quality model coupled with GIS for simulation of point sourced pollutant discharges
COMPLETEPAPER-8606935_Q	Hygroscopic properties of solid agro-industrial by-products used in solid-state fermentation
COMPLETEPAPER-8627467_Q	Effect of the loading frequency on the compressive fatigue behavior of plain and fiber reinforced concrete
COMPLETEPAPER-8633043_Q	Comparative effects of estrogen
COMPLETEPAPER-8645113_Q	Spatial distribution and composition of waterbirds in relation to limnological conditions in the Amazon basin
COMPLETEPAPER-8646980_Q	Anthropogenic and seasonal determinants of giant otter sightings along waterways in the northern Brazilian Amazon
COMPLETEPAPER-8650918_Q	Allelopathic interactions between microcystin-producing and non-microcystin-producing cyanobacteria and green microalgae: implications for microcystins production
COMPLETEPAPER-8651378_Q	Micro-computed Tomographic Analysis of the Root Canal Morphology of the Distal Root of Mandibular First Molar
COMPLETEPAPER-8657938_Q	Patient-specific implants for lateral unicompartmental knee arthroplasty
COMPLETEPAPER-8658957_Q	Ultrasound-assisted temperature-controlled ionic liquid microextraction for the preconcentration and determination of cadmium content in mussel samples
COMPLETEPAPER-8658958_Q	Homogeneity study of a corn flour laboratory reference material candidate for inorganic analysis
COMPLETEPAPER-8674351_Q	Chemical modification of gum arabic and its application in the encapsulation of essential oil
COMPLETEPAPER-8685973_Q	A comparative assessment of Brazilian electric motors performance with minimum efficiency standards
COMPLETEPAPER-8701837_Q	Predicting outcomes of balloon laryngoplasty in children with subglottic stenosis
COMPLETEPAPER-8703089_Q	and evaluation of strontium-containing nanostructured carbonated hydroxyapatite/sodium alginate for sinus lift in rabbits
COMPLETEPAPER-8709806_Q	Inferior gluteal artery pseudoaneurysm related to intramuscular injection
COMPLETEPAPER-8737910_Q	Determination of the phenolic composition from Brazilian tropical fruits by UHPLC-MS/MS
COMPLETEPAPER-8742077_Q	Genetic conservation of Ficus bonijesulapensis R
COMPLETEPAPER-8748414_Q	Systemically administered neuregulin-1&#946;1 rescues nigral dopaminergic neurons via the ErbB4 receptor tyrosine kinase in MPTP mouse models of Parkinson disease
COMPLETEPAPER-8754581_Q	Proteomic analysis of responsive stem proteins of resistant and susceptible cashew plants after Lasiodiploidea threobromae infection
COMPLETEPAPER-8757050_Q	Amplification of neuromuscular transmission by methylprednisolone involves activation of presynaptic facilitatory adenosine A2A receptors and redistribution of synaptic vesicles
COMPLETEPAPER-8763177_Q	Molecular phylogeny and diversification of a widespread Neotropical rainforest bird group: The Buff-throated Woodcreeper complex
COMPLETEPAPER-8765022_Q	Purification of -5-3-ketosteroid isomerase from Digitalis lanata
COMPLETEPAPER-8766263_Q	Effect of 593CgT GPx1 SNP alone and in synergy with 47CgT SOD2 SNP on the outcome of critically ill patients
COMPLETEPAPER-8767638_Q	Palladium and Palladium-Tin supported on Multi Wall Carbon Nanotubes or Carbon for alkaline direct ethanol fuel cell
SPECIFIC_CHAPTER-8777500_Q	In Vitro Oxygen-Glucose Deprivation to Study Ischemic Cell Death
COMPLETEPAPER-8777702_Q	Evaluation of Canonical siRNA and Dicer Substrate RNA for Inhibition of Hepatitis C Virus Genome Replication - A Comparative Study
COMPLETEPAPER-8787414_Q	In vivo temperature rise in anesthetized human pulp during exposure to a polywave LED light curing unit
COMPLETEPAPER-8792273_Q	Evaluation of Zygosaccharomyces bailii BVC 08 as a co-starter in wine fermentation for the improvement of ethyl esters production
COMPLETEPAPER-8826017_Q	Development of a method for total Hg determination in oil samples by cold vapor atomic absorption spectrometry after its extraction induced by emulsion breaking
COMPLETEPAPER-8837385_Q	Influence of precipitation conditions (n-heptane or carbon dioxide gas) on the performance of asphaltene stabilizers
COMPLETEPAPER-8853840_Q	Natural humic substances effects on the life history traits of Latonopsis australis SARS (1888) (Cladocera - Crustacea)
COMPLETEPAPER-8905342_Q	Validation of an Ultraviolet-Visible (UV-Vis) Technique for the Quantitative Determination of Curcumin in Poly(L-Lactic Acid) Nanoparticles
COMPLETEPAPER-8941800_Q	Dairy cow preference and usage of an alternative freestall design
COMPLETEPAPER-8946547_Q	Tobacco smoke containing high or low levels of nicotine during adolescence: Effects on novelty-seeking and anxiety-like behaviors in mice
COMPLETEPAPER-8952348_Q	xzMechanisms of action of fluoridated acidic liquid dentifrices against dental caries
COMPLETEPAPER-8959504_Q	Influence of the metal precursor on the catalytic behavior of Pt/Ceria catalysts in the preferential oxidation of CO in the presence of H2 (PROX)
COMPLETEPAPER-8959505_Q	Preferential oxidation of CO in excess of H2 on Pt/CeO2-Nb2O5 catalysts
COMPLETEPAPER-8968001_Q	Comparison of Content and In vitro Bioaccessibility of Provitamin A Carotenoids in Home Cooked and Commercially Processed Orange Fleshed Sweet Potato (Ipomea batatas Lam)
COMPLETEPAPER-8977516_Q	A review of Brazilian biodiesel experiences
COMPLETEPAPER-8982072_Q	Oxygen transfer in different pneumatic bioreactors containing viscous Newtonian fluids
COMPLETEPAPER-8982154_Q	Novel thermo-responsive double-hydrophilic and hydrophobic MPEO-b-PEtOx-b-PCL triblock terpolymers: Synthesis
COMPLETEPAPER-8984257_Q	Morphoanatomical responses induced by excess iron in roots of two tolerant grass species
COMPLETEPAPER-8990802_Q	A novel approach to discriminate transgenic from non-transgenic soybean oil using FT-MIR and chemometrics
COMPLETEPAPER-8993708_Q	Polycyclic Aromatic Hydrocarbon emissions in diesel exhaust using gas chromatography mass spectrometry with programmed temperature vaporization and large volume injection
COMPLETEPAPER-9011772_Q	Photoprotective function of energy dissipation by thermal processes and photorespiratory mechanisms in Jatropha curcas plants during different intensities of drought and after recovery
COMPLETEPAPER-9036812_Q	Physicochemical and antimicrobial properties of nanoencapsulated Eucalyptus staigeriana essential oil
COMPLETEPAPER-9048471_Q	Selection strategy in families of energy cane based on biomass production and quality traits
COMPLETEPAPER-9050023_Q	Machine Learning Algorithms and Forced Oscillation measurements to categorize the airway obstruction severity in chronic obstructive pulmonary disease
COMPLETEPAPER-9050099_Q	A Follow-up Study of the Chronic Kidney Disease Patients treated with Brazil nut: Focus on inflammation and oxidative stress
COMPLETEPAPER-9060834_Q	Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality
COMPLETEPAPER-9078021_Q	Changes in the dynamics of functional groups in communities of dung beetles in Atlantic forest fragments adjacent to transgenic maize crops
COMPLETEPAPER-9129033_Q	Use of experimental design to optimize a triple-potential waveform to develop a method for the determination of streptomycin and dihydrostreptomycin in pharmaceutical veterinary dosage forms by HPLC-PAD
COMPLETEPAPER-9156083_Q	How to mitigate impacts of wind farms on bats? A review of potential conservation measures in the European context
COMPLETEPAPER-9156552_Q	Scenario simulations of future salinity and ecological consequences in the Baltic Sea and adjacent North Sea areas-implications for environmental monitoring
COMPLETEPAPER-9190339_Q	An on-line weighted ensemble of regressor models to handle concept drifts
COMPLETEPAPER-9190340_Q	A dynamic and on-line ensemble regression for changing environments
COMPLETEPAPER-9192915_Q	Discovery of unusual anatomical and continuous characters in the evolutionary history of Conostegia (Miconieae: Melastomataceae)
COMPLETEPAPER-9192916_Q	Taxonomic revision of the Greater Antillean Pseudolima clade of Miconia (Miconia sect
COMPLETEPAPER-9192917_Q	A revision of Meriania (Melastomataceae) in the Greater Antilles with emphasis on the status of the Cuban species
COMPLETEPAPER-9216970_Q	Dominance and stress signalling of carotenoid pigmentation in Arctic charr (Salvelinus alpinus): Lateralization effects?
COMPLETEPAPER-9227966_Q	Inventory and Quantitative Assessment of Geosites and Geodiversity Sites: a Review
COMPLETEPAPER-9227967_Q	The Iberian Massif Landscape and Fluvial Network in Portugal: a geoheritage inventory based on the scientific value
